web-scraper-order,web-scraper-start-url,class,class-href,title,price,rating,brand,operating system,model name,cellular technology
"1705169745-65","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","realme narzo N53 (Feather Black, 4GB+64GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display","https://www.amazon.in/realme-Feather-Segment-Charging-Slimmest/dp/B0C45VWDWJ/ref=sr_1_20?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-20","realme narzo N53 (Feather Black, 4GB+64GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display","7,999","12,368 ratings","realme","Android 13.0","realme narzo N53","4G"
"1705169756-66","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Samsung Galaxy S23 5G (Lavender, 8GB, 256GB Storage)","https://www.amazon.in/Samsung-Galaxy-Lavender-256GB-Storage/dp/B0BRSL2XWP/ref=sr_1_19?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-19","Samsung Galaxy S23 5G (Lavender, 8GB, 256GB Storage)","69,999","1,313 ratings","Samsung","Android 13.0","Galaxy S23","5G, 4G LTE"
"1705169764-67","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","POCO C51 (Power Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/POCO-Power-Black-128GB-Storage/dp/B0CKJ3XLLM/ref=sr_1_18?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-18","POCO C51 (Power Black, 6GB RAM, 128GB Storage)","5,999","19 ratings","POCO","Android 13.0","POCO C51","4G"
"1705169774-68","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","realme narzo 60X 5G（Nebula Purple 6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge","https://www.amazon.in/realme-5G%EF%BC%88Nebula-External-Segments-Supervooc/dp/B0CGDNJX9X/ref=sr_1_17?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-17","realme narzo 60X 5G（Nebula Purple 6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge","12,499","6,229 ratings","realme","Android 13.0","realme narzo 60x","5G"
"1705169783-69","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Samsung Galaxy M14 5G (Smoky Teal,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger","https://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCSSNV7/ref=sr_1_16?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-16","Samsung Galaxy M14 5G (Smoky Teal,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger","11,999","15,645 ratings","Samsung","Android 13.0","Samsung Galaxy M14 5G","5G"
"1705169792-70","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Redmi 13C (Starshine Green, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","https://www.amazon.in/Starshine-Storage-Powered-MediaTek-Display/dp/B0CMTZNPXR/ref=sr_1_15?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-15","Redmi 13C (Starshine Green, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","7,999","305 ratings","Xiaomi","MIUI 14, Android 13.0","Redmi 13C","4G"
"1705169800-71","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","realme narzo N55 (Prime Blue, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera","https://www.amazon.in/realme-Segment-Fastest-Charging-High-res/dp/B0BZ466BWW/ref=sr_1_14?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-14","realme narzo N55 (Prime Blue, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera","9,749","10,694 ratings","realme","Android 13.0","realme narzo N55","4G"
"1705169809-72","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=sr_1_13?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-13","Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","10,999","319 ratings","Redmi","MIUI 14, Android 13.0","Redmi 13C 5G","5G"
"1705169819-73","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Starlish Black","https://www.amazon.in/itel-Smartphone-Storage-Charging-Starlish/dp/B0CQ7MKZ1F/ref=sr_1_10?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-10","itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Starlish Black","6,799","22 ratings","itel","Android 13.0 Go","A70","4G"
"1705169828-74","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Redmi 13C (Starshine Green, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","https://www.amazon.in/Starshine-Storage-Powered-MediaTek-Display/dp/B0CMTWJ5RV/ref=sr_1_9?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-9","Redmi 13C (Starshine Green, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","9,998","305 ratings","Xiaomi","MIUI 14, Android 13.0","Redmi 13C","4G"
"1705169838-75","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","realme narzo N55 (Prime Black, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera","https://www.amazon.in/realme-Segment-Fastest-Charging-High-res/dp/B0BZ48H8JX/ref=sr_1_8?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-8","realme narzo N55 (Prime Black, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera","9,749","10,694 ratings","realme","Android 13.0","realme narzo N55","4G"
"1705169847-76","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","realme narzo 50i Prime (Mint Green 4GB RAM+64GB Storage) Octa-core Processor |5000 mAh Battery","https://www.amazon.in/realme-Storage-Octa-core-Processor-Battery/dp/B0BBM78DMV/ref=sr_1_7?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-7","realme narzo 50i Prime (Mint Green 4GB RAM+64GB Storage) Octa-core Processor |5000 mAh Battery","6,999","8,280 ratings","realme","Android 11.0","realme narzo 50i Prime","LTE"
"1705169857-77","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","https://www.amazon.in/Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGB2TPR/ref=sr_1_6?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-6","Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","5,999","16,976 ratings","Samsung","Android 12.0","Samsung M04","4G"
"1705169868-78","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Redmi A2 (Sea Green, 2GB RAM, 64GB Storage)","https://www.amazon.in/Redmi-Sea-Green-64GB-Storage/dp/B0C74PD9VG/ref=sr_1_5?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-5","Redmi A2 (Sea Green, 2GB RAM, 64GB Storage)","5,299","7,061 ratings","Redmi","Android 13 Go, Android 13.0","Redmi A2","4G"
"1705169877-79","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","POCO C51 (Royal Blue, 6GB RAM, 128GB Storage)","https://www.amazon.in/POCO-Royal-Blue-128GB-Storage/dp/B0CKJ5ZXFK/ref=sr_1_4?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-4","POCO C51 (Royal Blue, 6GB RAM, 128GB Storage)","5,999","19 ratings","POCO","Android 13.0","POCO C51","4G"
"1705169887-80","https://www.amazon.in/s?k=mobiles&page=1&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Redmi 13C 5G (Starlight Black, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","https://www.amazon.in/Redmi-Starlight-Storage-MediaTek-Dimensity/dp/B0CNX89QR8/ref=sr_1_3?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169734&sprefix=%2Caps%2C185&sr=8-3","Redmi 13C 5G (Starlight Black, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","10,998","319 ratings","Redmi","MIUI 14, Android 13.0","Redmi 13C 5G","5G"
